timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716174180969,1272,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-25,text,true,,853,720,63,63,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,67,0,3
1716174180969,67,HTTP Request -Crear Tarea  (Video)-0,302,Found,Primer Escenario 1-25,text,true,,296,360,63,63,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,67,0,3
1716174181037,1204,HTTP Request -Crear Tarea  (Video)-1,200,OK,Primer Escenario 1-25,text,true,,557,360,63,63,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,1203,0,1089
1716174181691,552,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-56,text,true,,855,720,63,63,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,66,0,3
1716174181691,66,HTTP Request -Crear Tarea  (Video)-0,302,Found,Primer Escenario 1-56,text,true,,296,360,63,63,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,66,0,3
1716174181758,485,HTTP Request -Crear Tarea  (Video)-1,200,OK,Primer Escenario 1-56,text,true,,559,360,63,63,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,485,0,371
1716174180937,1319,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-22,text,true,,854,720,63,63,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,118,0,3
1716174180937,118,HTTP Request -Crear Tarea  (Video)-0,302,Found,Primer Escenario 1-22,text,true,,296,360,63,63,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,118,0,3
1716174181056,1200,HTTP Request -Crear Tarea  (Video)-1,200,OK,Primer Escenario 1-22,text,true,,558,360,63,63,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,1200,0,1077
1716174180879,1393,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-17,text,true,,854,720,63,63,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,172,0,29
